activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-928-AR-2022-23-03.001.AM01.ARG02,13010,,1,,80.0000000000
XM-DAC-928-AR-2022-23-03.001.AM01.ARG02,43073,,1,,10.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG01,12220,,1,,5.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG01,12240,,1,,15.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG01,12340,,1,,10.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG01,12350,,1,,65.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG01,43073,,1,,5.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG02,12110,,1,,15.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG02,12240,,1,,10.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG02,12250,,1,,5.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG02,12263,,1,,5.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG02,12350,,1,,50.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG02,13010,,1,,5.0000000000
XM-DAC-928-AR-2022-23-03.002.AM01.ARG02,43073,,1,,10.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG01,12110,,1,,30.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG01,12310,,1,,10.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG01,12350,,1,,40.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG01,13010,,1,,15.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG01,13020,,1,,5.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG02,12110,,1,,10.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG02,12220,,1,,5.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG02,12240,,1,,10.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG02,12281,,1,,5.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG02,12350,,1,,10.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG02,13010,,1,,35.0000000000
XM-DAC-928-AR-2022-23-03.003.AM01.ARG02,43073,,1,,25.0000000000
XM-DAC-928-AR-2022-23-04.001.AM01.ARG01,12110,,1,,80.0000000000
XM-DAC-928-AR-2022-23-04.001.AM01.ARG01,12263,,1,,10.0000000000
